Symbol,EntryTimestampMarket,ExitTimestampMarket,Shares,EntryPrice,ExitPrice,PnL,TaxReserved,ExitReason,ResultR
BTE,2024-06-26T13:30:00-04:00,2024-06-27T10:15:00-04:00,2,3.41245742,3.42757889,0.03024293,0.01118989,ATR_STOP,0.27049858
TSLT,2024-06-26T11:45:00-04:00,2024-06-27T10:45:00-04:00,11,12.23917250,12.30795152,0.75656926,0.27993063,ATR_STOP,0.16304714
MVST,2024-06-27T10:30:00-04:00,2024-06-27T13:15:00-04:00,13,0.51608678,0.56620112,0.65148647,0.24105000,ATR_TARGET,1.98318261
TSLL,2024-06-26T11:45:00-04:00,2024-06-28T09:30:00-04:00,66,8.89166375,9.52723405,41.94763958,15.52062664,ATR_TARGET,1.97774839
TSLA,2024-06-26T11:45:00-04:00,2024-06-28T09:30:00-04:00,1,194.57081875,201.73352665,7.16270790,2.65020192,ATR_TARGET,1.95859689
EOSE,2024-06-27T13:45:00-04:00,2024-06-28T10:00:00-04:00,8,1.26594875,1.30215639,0.28966114,0.10717462,ATR_STOP,0.42614066
RIVN,2024-06-28T09:45:00-04:00,2024-06-28T10:00:00-04:00,2,14.94119750,14.27042953,-1.34153594,-0.49636830,ATR_STOP,-1.01622716
CLOV,2024-06-25T09:45:00-04:00,2024-06-28T11:00:00-04:00,251,1.30597875,1.25324918,-13.23512112,-4.89699481,ATR_STOP,-1.01816300
APP,2024-06-28T11:45:00-04:00,2024-06-28T12:15:00-04:00,4,84.34321000,82.79873079,-6.17791685,-2.28582923,ATR_STOP,-1.04192421
SOFI,2024-06-28T11:45:00-04:00,2024-06-28T13:00:00-04:00,3,6.62996875,6.55297513,-0.23098087,-0.08546292,ATR_STOP,-1.06824012
APPS,2024-06-28T12:30:00-04:00,2024-06-28T13:30:00-04:00,204,1.65924350,1.58358132,-15.43508467,-5.71098133,ATR_STOP,-1.01595971
TWLO,2024-06-28T09:45:00-04:00,2024-07-01T09:30:00-04:00,3,56.24215000,56.39536193,0.45963580,0.17006525,ATR_STOP,0.31754172
ERAS,2024-06-28T14:00:00-04:00,2024-07-01T09:30:00-04:00,151,2.29672125,2.44342716,22.15259202,8.19645905,ATR_TARGET,1.97530702
VISN,2024-06-28T14:30:00-04:00,2024-07-01T09:45:00-04:00,1,1.21591125,1.21908500,0.00317375,0.00117429,STOP_GAP,0.06801954
ASTS,2024-07-01T09:45:00-04:00,2024-07-01T11:00:00-04:00,43,12.13909750,11.61369447,-22.59233034,-8.35916222,ATR_STOP,-1.01687060
BTE,2024-06-27T13:00:00-04:00,2024-07-02T09:45:00-04:00,38,3.47260250,3.58134527,4.13222514,1.52892330,ATR_TARGET,1.95175436
EOSE,2024-07-01T09:45:00-04:00,2024-07-02T09:45:00-04:00,7,1.41606125,1.43472018,0.13061250,0.04832662,ATR_STOP,0.19875665
IAUX,2024-06-28T09:45:00-04:00,2024-07-02T10:30:00-04:00,579,1.05579125,1.01680003,-22.57591763,-8.35308952,ATR_STOP,-1.01996368
ADMA,2024-07-01T11:15:00-04:00,2024-07-02T10:30:00-04:00,43,11.61870750,11.34749043,-11.66233399,-4.31506358,ATR_STOP,-1.03242103
ACHR,2024-07-02T14:15:00-04:00,2024-07-03T10:00:00-04:00,135,3.76782375,4.04228883,37.05278636,13.70953095,ATR_TARGET,1.97813332
